go_f,count,Systematic Name
4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-dehydrogenase (decarboxylating) activity,1,['YGL001C']
5'-3' DNA helicase activity,7,"['YDR190C', 'YER171W', 'YHR031C', 'YKL017C', 'YLR430W', 'YML061C', 'YPL235W']"
5'-3' DNA/RNA helicase activity,1,['YLR430W']
5'-3' RNA helicase activity,1,['YLR430W']
5'-3' exodeoxyribonuclease activity,3,"['YDR263C', 'YMR137C', 'YOR033C']"
5'-3' exonuclease activity,7,"['YDR370C', 'YER041W', 'YGL173C', 'YKL113C', 'YLR277C', 'YMR137C', 'YOR033C']"
5'-3' exoribonuclease activity,3,"['YDR412W', 'YGL173C', 'YOR048C']"
5'-adenylyl sulfate transmembrane transporter activity,1,['YPR011C']
5'-deoxynucleotidase activity,2,"['YBR242W', 'YGL101W']"
5'-deoxyribose-5-phosphate lyase activity,1,['YOL115W']
5'-flap endonuclease activity,8,"['YBR228W', 'YDR263C', 'YER041W', 'YHR164C', 'YKL113C', 'YLR135W', 'YNL085W', 'YOR033C']"
5'-flap-structured DNA binding,1,['YAL027W']
5'-nucleotidase activity,1,['YKL033W-A']
5'-tyrosyl-DNA phosphodiesterase activity,1,['YBR223C']
5-amino-1-ribofuranosylimidazole-4-carboxamide transporter activity,3,"['YLR237W', 'YOR071C', 'YOR192C']"
5-amino-4-imidazole carboxylate lyase activity,1,['YOR128C']
5-amino-6-(5-phosphoribosylamino)uracil reductase activity,1,['YBR153W']
5-aminolevulinate synthase activity,1,['YDR232W']
5-diphosphoinositol pentakisphosphate 3-kinase activity,1,['YLR410W']
5-fluorocytosine deaminase activity,1,['YPR062W']
5-formyltetrahydrofolate cyclo-ligase activity,1,['YER183C']
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity,1,['YER091C']
5-oxoprolinase (ATP-hydrolyzing) activity,1,['YKL215C']
5.8S rRNA binding,1,['YLR022C']
5S rRNA binding,5,"['YGL122C', 'YKR081C', 'YOL077C', 'YPL131W', 'YPL146C']"
"6,7-dimethyl-8-ribityllumazine synthase activity",1,['YOL143C']
6-phosphofructo-2-kinase activity,4,"['YIL107C', 'YJL155C', 'YLR345W', 'YOL136C']"
6-phosphofructokinase activity,2,"['YGR240C', 'YMR205C']"
6-phosphogluconolactonase activity,4,"['YCR073W-A', 'YGR248W', 'YHR163W', 'YNR034W']"
7S RNA binding,7,"['YDL092W', 'YGL122C', 'YKR081C', 'YML105C', 'YPL210C', 'YPL243W', 'YPR088C']"
"8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity",1,['YLR151C']
"8-oxo-7,8-dihydroguanine DNA N-glycosylase activity",1,['YML060W']
"8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity",1,['YLR151C']
8-oxo-dGDP phosphatase activity,1,['YJR142W']
8-oxo-dGTP phosphohydrolase activity,1,['YER005W']
ABC-type transporter activity,22,"['YCR011C', 'YDR011W', 'YDR135C', 'YDR406W', 'YGR281W', 'YHL035C', 'YIL013C', 'YKL188C', 'YKL209C', 'YKR103W', 'YLL015W', 'YLL048C', 'YLR188W', 'YMR301C', 'YNR070W', 'YOL075C', 'YOR011W', 'YOR153W', 'YOR328W', 'YPL058C', 'YPL147W', 'YPL270W']"
ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process,1,['YKL192C']
ADP binding,3,"['YBL099W', 'YCR012W', 'YLL026W']"
ADP transmembrane transporter activity,1,['YPR128C']
ADP-dependent NAD(P)H-hydrate dehydratase activity,1,['YKL151C']
ADP-ribose diphosphatase activity,1,['YBR111C']
ADP-ribosyl-[dinitrogen reductase] hydrolase activity,1,['YBR022W']
AMP binding,9,"['YAL054C', 'YBR214W', 'YDR441C', 'YGL056C', 'YGL115W', 'YGR240C', 'YLR153C', 'YML022W', 'YMR205C']"
AMP deaminase activity,1,['YML035C']
AMP-activated protein kinase activity,8,"['YDR422C', 'YDR477W', 'YER027C', 'YGL115W', 'YGL208W', 'YJL164C', 'YKL166C', 'YPL203W']"
AP-1 adaptor complex binding,1,['YFL034W']
AT DNA binding,3,"['YFL008W', 'YFR031C', 'YML113W']"
ATP adenylyltransferase activity,2,"['YCL050C', 'YDR530C']"
ATP binding,627,"['YAL005C', 'YAL017W', 'YAL019W', 'YAL026C', 'YAL029C', 'YAL038W', 'YAL054C', 'YAR015W', 'YAR018C', 'YAR019C', 'YBL009W', 'YBL016W', 'YBL022C', 'YBL023C', 'YBL039C', 'YBL063W', 'YBL068W', 'YBL075C', 'YBL076C', 'YBL080C', 'YBL088C', 'YBL099W', 'YBL105C', 'YBL111C', 'YBR020W', 'YBR025C', 'YBR028C', 'YBR041W', 'YBR044C', 'YBR059C', 'YBR073W', 'YBR080C', 'YBR082C', 'YBR084W', 'YBR087W', 'YBR094W', 'YBR097W', 'YBR114W', 'YBR121C', 'YBR127C', 'YBR136W', 'YBR142W', 'YBR160W', 'YBR169C', 'YBR186W', 'YBR202W', 'YBR208C', 'YBR218C', 'YBR222C', 'YBR227C', 'YBR237W', 'YBR245C', 'YBR274W', 'YBR295W', 'YCL004W', 'YCL024W', 'YCL030C', 'YCL040W', 'YCL047C', 'YCL050C', 'YCR008W', 'YCR011C', 'YCR012W', 'YCR024C', 'YCR036W', 'YCR073C', 'YCR091W', 'YCR092C', 'YDL007W', 'YDL017W', 'YDL025C', 'YDL028C', 'YDL029W', 'YDL031W', 'YDL033C', 'YDL045C', 'YDL064W', 'YDL079C', 'YDL084W', 'YDL100C', 'YDL101C', 'YDL108W', 'YDL126C', 'YDL141W', 'YDL143W', 'YDL154W', 'YDL159W', 'YDL160C', 'YDL164C', 'YDL166C', 'YDL185W', 'YDL214C', 'YDL229W', 'YDR004W', 'YDR009W', 'YDR011W', 'YDR017C', 'YDR020C', 'YDR021W', 'YDR023W', 'YDR037W', 'YDR038C', 'YDR039C', 'YDR040C', 'YDR054C', 'YDR059C', 'YDR061W', 'YDR076W', 'YDR091C', 'YDR092W', 'YDR093W', 'YDR097C', 'YDR122W', 'YDR127W', 'YDR135C', 'YDR147W', 'YDR173C', 'YDR177W', 'YDR188W', 'YDR190C', 'YDR194C', 'YDR196C', 'YDR208W', 'YDR212W', 'YDR226W', 'YDR236C', 'YDR243C', 'YDR247W', 'YDR248C', 'YDR258C', 'YDR268W', 'YDR270W', 'YDR283C', 'YDR291W', 'YDR300C', 'YDR315C', 'YDR332W', 'YDR334W', 'YDR341C', 'YDR375C', 'YDR390C', 'YDR394W', 'YDR406W', 'YDR454C', 'YDR466W', 'YDR477W', 'YDR490C', 'YDR502C', 'YDR507C', 'YDR516C', 'YDR523C', 'YDR530C', 'YDR531W', 'YDR534C', 'YDR545W', 'YEL012W', 'YEL029C', 'YEL030W', 'YEL031W', 'YEL032W', 'YEL041W', 'YEL052W', 'YEL061C', 'YEL077C', 'YER005W', 'YER013W', 'YER015W', 'YER017C', 'YER036C', 'YER047C', 'YER052C', 'YER055C', 'YER069W', 'YER070W', 'YER087W', 'YER095W', 'YER099C', 'YER100W', 'YER103W', 'YER123W', 'YER129W', 'YER164W', 'YER166W', 'YER168C', 'YER170W', 'YER171W', 'YER172C', 'YER173W', 'YER176W', 'YER179W', 'YER183C', 'YER190W', 'YFL002C', 'YFL003C', 'YFL008W', 'YFL016C', 'YFL022C', 'YFL028C', 'YFL029C', 'YFL033C', 'YFL039C', 'YFL053W', 'YFL066C', 'YFR007W', 'YFR009W', 'YFR014C', 'YFR019W', 'YFR031C', 'YFR038W', 'YFR053C', 'YGL006W', 'YGL008C', 'YGL021W', 'YGL034C', 'YGL048C', 'YGL058W', 'YGL059W', 'YGL062W', 'YGL064C', 'YGL078C', 'YGL083W', 'YGL091C', 'YGL115W', 'YGL119W', 'YGL120C', 'YGL130W', 'YGL150C', 'YGL158W', 'YGL163C', 'YGL167C', 'YGL169W', 'YGL171W', 'YGL179C', 'YGL180W', 'YGL201C', 'YGL216W', 'YGL234W', 'YGL245W', 'YGL251C', 'YGL253W', 'YGR010W', 'YGR028W', 'YGR040W', 'YGR052W', 'YGR061C', 'YGR092W', 'YGR094W', 'YGR102C', 'YGR124W', 'YGR133W', 'YGR171C', 'YGR185C', 'YGR188C', 'YGR194C', 'YGR204W', 'YGR205W', 'YGR240C', 'YGR244C', 'YGR262C', 'YGR264C', 'YGR270W', 'YGR271W', 'YGR277C', 'YGR281W', 'YGR296W', 'YHL007C', 'YHL011C', 'YHL014C', 'YHL022C', 'YHL032C', 'YHL035C', 'YHL050C', 'YHR003C', 'YHR011W', 'YHR019C', 'YHR020W', 'YHR022C', 'YHR023W', 'YHR025W', 'YHR030C', 'YHR031C', 'YHR033W', 'YHR064C', 'YHR065C', 'YHR074W', 'YHR079C', 'YHR082C', 'YHR091C', 'YHR102W', 'YHR111W', 'YHR120W', 'YHR135C', 'YHR164C', 'YHR169W', 'YHR205W', 'YHR218W', 'YIL003W', 'YIL009W', 'YIL013C', 'YIL022W', 'YIL035C', 'YIL042C', 'YIL048W', 'YIL066C', 'YIL078W', 'YIL095W', 'YIL107C', 'YIL126W', 'YIL142W', 'YIL143C', 'YIL145C', 'YIL147C', 'YIL177C', 'YIR002C', 'YIR008C', 'YIR016W', 'YJL005W', 'YJL008C', 'YJL014W', 'YJL019W', 'YJL033W', 'YJL034W', 'YJL046W', 'YJL050W', 'YJL057C', 'YJL074C', 'YJL081C', 'YJL087C', 'YJL092W', 'YJL095W', 'YJL100W', 'YJL101C', 'YJL106W', 'YJL111W', 'YJL128C', 'YJL130C', 'YJL138C', 'YJL141C', 'YJL155C', 'YJL164C', 'YJL165C', 'YJL187C', 'YJL194W', 'YJL225C', 'YJR010W', 'YJR035W', 'YJR045C', 'YJR049C', 'YJR057W', 'YJR059W', 'YJR064W', 'YJR065C', 'YJR066W', 'YJR068W', 'YJR103W', 'YJR105W', 'YJR109C', 'YJR121W', 'YJR124C', 'YKL001C', 'YKL017C', 'YKL024C', 'YKL025C', 'YKL027W', 'YKL048C', 'YKL067W', 'YKL073W', 'YKL078W', 'YKL079W', 'YKL080W', 'YKL086W', 'YKL101W', 'YKL110C', 'YKL116C', 'YKL126W', 'YKL129C', 'YKL132C', 'YKL139W', 'YKL145W', 'YKL151C', 'YKL161C', 'YKL166C', 'YKL168C', 'YKL171W', 'YKL181W', 'YKL188C', 'YKL194C', 'YKL197C', 'YKL198C', 'YKL203C', 'YKL204W', 'YKL209C', 'YKL210W', 'YKL215C', 'YKL218C', 'YKR002W', 'YKR024C', 'YKR054C', 'YKR059W', 'YKR086W', 'YKR097W', 'YKR103W', 'YKR104W', 'YLL008W', 'YLL015W', 'YLL018C', 'YLL019C', 'YLL024C', 'YLL026W', 'YLL034C', 'YLL035W', 'YLL048C', 'YLL066C', 'YLL067C', 'YLR032W', 'YLR035C', 'YLR036C', 'YLR060W', 'YLR086W', 'YLR096W', 'YLR106C', 'YLR113W', 'YLR133W', 'YLR143W', 'YLR153C', 'YLR180W', 'YLR188W', 'YLR215C', 'YLR240W', 'YLR247C', 'YLR248W', 'YLR249W', 'YLR259C', 'YLR260W', 'YLR274W', 'YLR276C', 'YLR305C', 'YLR306W', 'YLR328W', 'YLR345W', 'YLR361C', 'YLR362W', 'YLR369W', 'YLR382C', 'YLR383W', 'YLR396C', 'YLR397C', 'YLR398C', 'YLR410W', 'YLR419W', 'YLR430W', 'YLR446W', 'YLR466W', 'YLR467W', 'YML061C', 'YML065W', 'YML070W', 'YML093W', 'YML133C', 'YMR001C', 'YMR022W', 'YMR078C', 'YMR080C', 'YMR089C', 'YMR104C', 'YMR106C', 'YMR109W', 'YMR113W', 'YMR128W', 'YMR139W', 'YMR162C', 'YMR167W', 'YMR186W', 'YMR190C', 'YMR205C', 'YMR207C', 'YMR208W', 'YMR216C', 'YMR217W', 'YMR220W', 'YMR246W', 'YMR284W', 'YMR290C', 'YMR291W', 'YMR293C', 'YMR301C', 'YNL014W', 'YNL020C', 'YNL040W', 'YNL064C', 'YNL073W', 'YNL082W', 'YNL088W', 'YNL112W', 'YNL129W', 'YNL132W', 'YNL154C', 'YNL161W', 'YNL183C', 'YNL207W', 'YNL209W', 'YNL218W', 'YNL247W', 'YNL250W', 'YNL256W', 'YNL261W', 'YNL267W', 'YNL290W', 'YNL298W', 'YNL307C', 'YNL329C', 'YNL339C', 'YNR011C', 'YNR012W', 'YNR016C', 'YNR027W', 'YNR029C', 'YNR031C', 'YNR038W', 'YNR043W', 'YNR047W', 'YNR057C', 'YNR070W', 'YOL016C', 'YOL033W', 'YOL034W', 'YOL045W', 'YOL049W', 'YOL055C', 'YOL058W', 'YOL061W', 'YOL075C', 'YOL090W', 'YOL094C', 'YOL095C', 'YOL097C', 'YOL100W', 'YOL113W', 'YOL128C', 'YOL136C', 'YOR005C', 'YOR011W', 'YOR020C', 'YOR046C', 'YOR061W', 'YOR117W', 'YOR119C', 'YOR128C', 'YOR141C', 'YOR143C', 'YOR153W', 'YOR168W', 'YOR171C', 'YOR191W', 'YOR204W', 'YOR217W', 'YOR231W', 'YOR233W', 'YOR241W', 'YOR250C', 'YOR259C', 'YOR267C', 'YOR274W', 'YOR290C', 'YOR291W', 'YOR303W', 'YOR304W', 'YOR317W', 'YOR326W', 'YOR328W', 'YOR335C', 'YOR339C', 'YOR347C', 'YOR351C', 'YOR396W', 'YPL003W', 'YPL008W', 'YPL026C', 'YPL029W', 'YPL031C', 'YPL036W', 'YPL040C', 'YPL042C', 'YPL058C', 'YPL074W', 'YPL082C', 'YPL097W', 'YPL104W', 'YPL106C', 'YPL119C', 'YPL140C', 'YPL141C', 'YPL147W', 'YPL150W', 'YPL153C', 'YPL155C', 'YPL160W', 'YPL164C', 'YPL188W', 'YPL203W', 'YPL204W', 'YPL209C', 'YPL214C', 'YPL217C', 'YPL222W', 'YPL226W', 'YPL235W', 'YPL236C', 'YPL240C', 'YPL258C', 'YPL270W', 'YPL283C', 'YPR019W', 'YPR024W', 'YPR033C', 'YPR035W', 'YPR047W', 'YPR054W', 'YPR066W', 'YPR081C', 'YPR106W', 'YPR111W', 'YPR141C', 'YPR145W', 'YPR161C', 'YPR173C', 'YPR204W']"
ATP phosphoribosyltransferase activity,1,['YER055C']
ATP transmembrane transporter activity,2,"['YNL083W', 'YPR128C']"
ATP-dependent NAD(P)H-hydrate dehydratase activity,1,['YKL151C']
ATP-dependent RNA helicase inhibitor activity,1,['YDR381W']
ATP-dependent chromatin remodeler activity,1,['YER164W']
"ATP-dependent microtubule motor activity, minus-end-directed",4,"['YEL061C', 'YKR054C', 'YMR198W', 'YPR141C']"
"ATP-dependent microtubule motor activity, plus-end-directed",6,"['YBL063W', 'YDR424C', 'YDR488C', 'YEL061C', 'YGL216W', 'YPL155C']"
ATP-dependent peptidase activity,4,"['YBL022C', 'YER017C', 'YMR089C', 'YPR024W']"
ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity,1,['YMR156C']
ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity,1,['YER168C']
ATP:ADP antiporter activity,6,"['YBL030C', 'YBR085W', 'YMR056C', 'YNL083W', 'YOR222W', 'YPL134C']"
ATPase activator activity,22,"['YBL050W', 'YCR093W', 'YDR214W', 'YER128W', 'YFL016C', 'YGL018C', 'YGL049C', 'YGR162W', 'YLR008C', 'YLR009W', 'YLR090W', 'YLR181C', 'YMR161W', 'YNL064C', 'YNL077W', 'YNL227C', 'YNL281W', 'YNL328C', 'YNR054C', 'YOR148C', 'YPL122C', 'YPL135W']"
ATPase activity,126,"['Q0130', 'YAL005C', 'YBL022C', 'YBL075C', 'YBL099W', 'YBR025C', 'YBR039W', 'YBR080C', 'YBR169C', 'YBR186W', 'YBR227C', 'YBR245C', 'YCL047C', 'YDL004W', 'YDL007W', 'YDL029W', 'YDL100C', 'YDL126C', 'YDL143W', 'YDL160C', 'YDL166C', 'YDL229W', 'YDR097C', 'YDR188W', 'YDR212W', 'YDR258C', 'YDR334W', 'YDR375C', 'YDR377W', 'YDR394W', 'YEL030W', 'YEL032W', 'YEL052W', 'YER017C', 'YER036C', 'YER047C', 'YER103W', 'YFL008W', 'YFL028C', 'YFL039C', 'YFR007W', 'YFR009W', 'YFR013W', 'YFR019W', 'YFR031C', 'YFR038W', 'YGL048C', 'YGL091C', 'YGL119W', 'YGL150C', 'YGL216W', 'YGR028W', 'YGR210C', 'YGR262C', 'YGR270W', 'YHL014C', 'YHR064C', 'YHR169W', 'YHR187W', 'YIL003W', 'YIL142W', 'YJL008C', 'YJL014W', 'YJL034W', 'YJL074C', 'YJL111W', 'YJL159W', 'YJL194W', 'YJR045C', 'YJR064W', 'YJR068W', 'YJR072C', 'YJR121W', 'YKL073W', 'YKL079W', 'YKL145W', 'YKL197C', 'YLL024C', 'YLL026W', 'YLL034C', 'YLR035C', 'YLR086W', 'YLR095C', 'YLR106C', 'YLR188W', 'YLR249W', 'YLR259C', 'YLR295C', 'YLR369W', 'YLR383W', 'YLR397C', 'YML065W', 'YMR044W', 'YMR078C', 'YMR080C', 'YMR089C', 'YMR167W', 'YMR173W', 'YMR186W', 'YMR312W', 'YNL014W', 'YNL082W', 'YNL209W', 'YNL218W', 'YNL250W', 'YNL290W', 'YNL329C', 'YOL034W', 'YOL090W', 'YOL094C', 'YOR020C', 'YOR117W', 'YOR217W', 'YOR259C', 'YPL074W', 'YPL082C', 'YPL101W', 'YPL106C', 'YPL119C', 'YPL155C', 'YPL164C', 'YPL217C', 'YPL240C', 'YPL271W', 'YPR024W', 'YPR173C']"
"ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism",8,"['YDR038C', 'YDR039C', 'YDR040C', 'YEL031W', 'YGL008C', 'YGL167C', 'YOR291W', 'YPL036W']"
"ATPase activity, coupled to transmembrane movement of substances",23,"['YCR011C', 'YDR011W', 'YDR135C', 'YDR375C', 'YDR406W', 'YEL051W', 'YGR281W', 'YHL035C', 'YHR039C-A', 'YIL013C', 'YKL188C', 'YKL209C', 'YKR103W', 'YKR104W', 'YLL015W', 'YLL048C', 'YMR301C', 'YNR070W', 'YOR011W', 'YOR153W', 'YOR328W', 'YPL058C', 'YPL147W']"
ATPase binding,3,"['YDL130W-A', 'YMR054W', 'YOR270C']"
ATPase coupled ion transmembrane transporter activity,1,['YCL005W-A']
ATPase inhibitor activity,6,"['YDL130W-A', 'YDL181W', 'YER179W', 'YHL030W', 'YNL265C', 'YOR027W']"
