Domains,number,ID
PF00043,6,"['YGR201C', 'YIR038C', 'YKL081W', 'YLL060C', 'YNL229C', 'YPL048W']"
PF00044,3,"['YGR192C', 'YJL052W', 'YJR009C']"
PF00046,7,"['YCL067C', 'YCR039C', 'YCR096C', 'YCR097W', 'YDL106C', 'YDR451C', 'YML027W']"
PF00056,3,"['YDL078C', 'YKL085W', 'YOL126C']"
PF00063,5,"['YAL029C', 'YHR023W', 'YKL129C', 'YMR109W', 'YOR326W']"
PF00067,3,"['YDR402C', 'YHR007C', 'YMR015C']"
PF00069,113,"['YAL017W', 'YAR018C', 'YAR019C', 'YBL016W', 'YBL105C', 'YBR028C', 'YBR059C', 'YBR097W', 'YBR160W', 'YBR274W', 'YCL024W', 'YCR008W', 'YCR073C', 'YCR091W', 'YDL017W', 'YDL025C', 'YDL028C', 'YDL079C', 'YDL101C', 'YDL108W', 'YDL159W', 'YDL214C', 'YDR122W', 'YDR247W', 'YDR283C', 'YDR466W', 'YDR477W', 'YDR490C', 'YDR507C', 'YDR523C', 'YER123W', 'YER129W', 'YFL029C', 'YFL033C', 'YFR014C', 'YGL083W', 'YGL158W', 'YGL179C', 'YGL180W', 'YGR040W', 'YGR052W', 'YGR092W', 'YGR188C', 'YHL007C', 'YHR030C', 'YHR079C', 'YHR082C', 'YHR102W', 'YHR135C', 'YHR205W', 'YIL035C', 'YIL095W', 'YJL057C', 'YJL095W', 'YJL106W', 'YJL128C', 'YJL141C', 'YJL164C', 'YJL165C', 'YJL187C', 'YJR059W', 'YKL048C', 'YKL101W', 'YKL116C', 'YKL126W', 'YKL139W', 'YKL161C', 'YKL166C', 'YKL168C', 'YKL171W', 'YKL198C', 'YLL019C', 'YLR096W', 'YLR113W', 'YLR248W', 'YLR362W', 'YMR001C', 'YMR104C', 'YMR139W', 'YMR216C', 'YMR291W', 'YNL020C', 'YNL154C', 'YNL161W', 'YNL183C', 'YNL298W', 'YNL307C', 'YNR031C', 'YNR047W', 'YOL016C', 'YOL045W', 'YOL100W', 'YOL113W', 'YOL128C', 'YOR231W', 'YOR233W', 'YOR267C', 'YOR351C', 'YPL026C', 'YPL031C', 'YPL042C', 'YPL140C', 'YPL141C', 'YPL150W', 'YPL153C', 'YPL203W', 'YPL204W', 'YPL209C', 'YPL236C', 'YPR054W', 'YPR106W', 'YPR111W', 'YPR161C']"
PF00071,26,"['YAL048C', 'YBR264C', 'YCR027C', 'YER031C', 'YFL005W', 'YFL038C', 'YGL210W', 'YGR152C', 'YHR022C', 'YIL118W', 'YKR014C', 'YKR055W', 'YLR229C', 'YLR262C', 'YLR293C', 'YML001W', 'YML064C', 'YNL090W', 'YNL093W', 'YNL098C', 'YNL180C', 'YNL304W', 'YOR089C', 'YOR101W', 'YOR185C', 'YPR165W']"
PF00072,3,"['YHR206W', 'YIL147C', 'YLR006C']"
PF00075,1,['YMR234W']
PF00076,45,"['YBL051C', 'YBR119W', 'YBR212W', 'YCL011C', 'YDL051W', 'YDL209C', 'YDL224C', 'YDR381W', 'YDR429C', 'YDR432W', 'YER165W', 'YFR023W', 'YFR032C', 'YGL044C', 'YGR159C', 'YGR250C', 'YHL024W', 'YHL034C', 'YHR015W', 'YHR086W', 'YIL061C', 'YIR001C', 'YIR005W', 'YJR091C', 'YKL214C', 'YLL046C', 'YMR268C', 'YMR302C', 'YNL004W', 'YNL016W', 'YNL110C', 'YNL175C', 'YNL197C', 'YNL251C', 'YNL286W', 'YOL041C', 'YOL123W', 'YOR319W', 'YOR361C', 'YPL043W', 'YPL178W', 'YPL184C', 'YPL190C', 'YPR042C', 'YPR112C']"
PF00078,2,"['Q0050', 'Q0055']"
PF00080,2,"['YJR104C', 'YMR038C']"
PF00081,1,['YHR008C']
PF00082,3,"['YCR045C', 'YEL060C', 'YNL238W']"
PF00083,34,"['YBR241C', 'YBR298C', 'YCR098C', 'YDL138W', 'YDL194W', 'YDL199C', 'YDL245C', 'YDL247W', 'YDR342C', 'YDR343C', 'YDR345C', 'YDR387C', 'YDR497C', 'YDR536W', 'YEL069C', 'YFL011W', 'YFL040W', 'YGL104C', 'YGR289C', 'YHR092C', 'YHR094C', 'YHR096C', 'YJL214W', 'YJL219W', 'YJR158W', 'YJR160C', 'YKL217W', 'YLR081W', 'YML123C', 'YMR011W', 'YNL318C', 'YNR072W', 'YOL103W', 'YOL156W']"
PF00085,10,"['YCL043C', 'YCR083W', 'YDR098C', 'YDR518W', 'YER174C', 'YGR209C', 'YIL005W', 'YLR043C', 'YOL088C', 'YOR288C']"
PF00091,4,"['YFL037W', 'YLR212C', 'YML085C', 'YML124C']"
PF00096,23,"['YDR146C', 'YDR216W', 'YDR253C', 'YER028C', 'YER130C', 'YER169W', 'YGL035C', 'YGL209W', 'YGL254W', 'YGR067C', 'YHL027W', 'YJL056C', 'YKL062W', 'YLR131C', 'YML081W', 'YMR037C', 'YMR182C', 'YNL027W', 'YOR113W', 'YPL038W', 'YPR013C', 'YPR015C', 'YPR186C']"
PF00097,3,"['YBR114W', 'YER116C', 'YKR017C']"
PF00098,4,"['YDL175C', 'YIL079C', 'YLR116W', 'YNL255C']"
PF00102,3,"['YDL230W', 'YER075C', 'YOR208W']"
PF00106,16,"['YBR159W', 'YBR265W', 'YDL114W', 'YIL124W', 'YIR035C', 'YIR036C', 'YKL055C', 'YKL071W', 'YKL107W', 'YKR009C', 'YLR100W', 'YLR426W', 'YMR226C', 'YNL181W', 'YOR246C', 'YPL033C']"
PF00107,18,"['YAL060W', 'YAL061W', 'YBR026C', 'YBR046C', 'YBR145W', 'YCR102C', 'YCR105W', 'YDL168W', 'YDL246C', 'YJR159W', 'YLR070C', 'YLR460C', 'YML131W', 'YMR083W', 'YMR303C', 'YMR318C', 'YNL134C', 'YOL086C']"
PF00108,2,"['YIL160C', 'YPL028W']"
PF00109,2,"['YER061C', 'YPL231W']"
PF00111,1,['YPL252C']
PF00113,5,"['YGR254W', 'YHR174W', 'YMR323W', 'YOR393W', 'YPL281C']"
PF00115,4,"['Q0045', 'Q0060', 'Q0065', 'Q0070']"
PF00116,1,['Q0250']
PF00117,9,"['YBL039C', 'YBR248C', 'YJL130C', 'YJR103W', 'YKL211C', 'YLR126C', 'YMR217W', 'YNR033W', 'YOR303W']"
PF00118,10,"['YDL143W', 'YDR188W', 'YDR212W', 'YFR019W', 'YIL142W', 'YJL008C', 'YJL014W', 'YJL111W', 'YJR064W', 'YLR259C']"
PF00119,1,['Q0085']
PF00120,1,['YPR035W']
PF00121,1,['YDR050C']
PF00122,13,"['YBR295W', 'YDR038C', 'YDR039C', 'YDR040C', 'YDR270W', 'YEL031W', 'YGL006W', 'YGL008C', 'YGL167C', 'YIL048W', 'YMR162C', 'YOR291W', 'YPL036W']"
PF00125,9,"['YBL002W', 'YBL003C', 'YBR010W', 'YDR224C', 'YDR225W', 'YKL049C', 'YNL031C', 'YOL012C', 'YOR358W']"
PF00128,7,"['YBR299W', 'YEL011W', 'YGR287C', 'YGR292W', 'YIL172C', 'YJL216C', 'YJL221C']"
PF00130,1,['YBL105C']
PF00132,2,"['YDL055C', 'YDR211W']"
PF00133,5,"['YBL076C', 'YGR094W', 'YLR382C', 'YPL040C', 'YPL160W']"
PF00134,16,"['YAL040C', 'YDL127W', 'YDL155W', 'YDL179W', 'YGR108W', 'YGR109C', 'YHR071W', 'YJL006C', 'YLR210W', 'YMR199W', 'YNL025C', 'YNL289W', 'YPL256C', 'YPR025C', 'YPR119W', 'YPR120C']"
PF00136,4,"['YDL102W', 'YNL102W', 'YNL262W', 'YPL167C']"
PF00137,4,"['Q0130', 'YEL027W', 'YHR026W', 'YPL234C']"
PF00141,1,['YKR066C']
PF00149,21,"['YDL047W', 'YDL134C', 'YDL188C', 'YDR075W', 'YDR182W', 'YDR436W', 'YDR452W', 'YER133W', 'YGR123C', 'YHR202W', 'YIL039W', 'YKL149C', 'YLR361C', 'YLR433C', 'YML016C', 'YML057W', 'YMR224C', 'YNL217W', 'YNR032W', 'YOR137C', 'YPL179W']"
PF00150,4,"['YDR261C', 'YIR007W', 'YLR300W', 'YOR190W']"
PF00152,6,"['YCR024C', 'YDR037W', 'YHR019C', 'YLL018C', 'YNL073W', 'YPL104W']"
PF00153,34,"['YBL030C', 'YBR085W', 'YBR104W', 'YBR192W', 'YBR291C', 'YDL119C', 'YDL198C', 'YEL006W', 'YER053C', 'YFR045W', 'YGR096W', 'YGR257C', 'YHR002W', 'YIL006W', 'YIL134W', 'YJL133W', 'YJR077C', 'YJR095W', 'YKL120W', 'YKR052C', 'YLR348C', 'YMR056C', 'YMR166C', 'YMR241W', 'YNL003C', 'YNL083W', 'YOR100C', 'YOR130C', 'YOR222W', 'YPL134C', 'YPR011C', 'YPR021C', 'YPR058W', 'YPR128C']"
PF00155,12,"['YDR062W', 'YDR111C', 'YDR232W', 'YER152C', 'YGL202W', 'YHR137W', 'YIL116W', 'YJL060W', 'YKL106W', 'YLR027C', 'YLR089C', 'YMR296C']"
PF00156,7,"['YDR399W', 'YDR441C', 'YJR133W', 'YML022W', 'YML106W', 'YMR271C', 'YMR300C']"
PF00160,9,"['YCR069W', 'YDR155C', 'YDR304C', 'YHR057C', 'YJR032W', 'YLR216C', 'YML078W', 'YNR028W', 'YPL064C']"
PF00162,1,['YCR012W']
PF00163,1,['YHR148W']
PF00164,3,"['YGR118W', 'YNR036C', 'YPR132W']"
PF00168,10,"['YBL105C', 'YER125W', 'YGR170W', 'YHR205W', 'YKL092C', 'YML072C', 'YNL087W', 'YNL152W', 'YOR086C', 'YOR296W']"
PF00169,18,"['YAR042W', 'YBL085W', 'YBR129C', 'YDL019C', 'YER114C', 'YER155C', 'YHR155W', 'YIL105C', 'YJR092W', 'YLR187W', 'YLR189C', 'YNL047C', 'YNL257C', 'YNL278W', 'YNL298W', 'YOL113W', 'YPL115C', 'YPR091C']"
PF00170,9,"['YDR259C', 'YDR423C', 'YER045C', 'YHL009C', 'YIL036W', 'YML007W', 'YNL167C', 'YOL028C', 'YOR028C']"
PF00171,10,"['YBR006W', 'YER073W', 'YHR037W', 'YHR039C', 'YMR110C', 'YMR169C', 'YMR170C', 'YOR323C', 'YOR374W', 'YPL061W']"
PF00172,52,"['YAL051W', 'YBL005W', 'YBL066C', 'YBR033W', 'YBR150C', 'YBR239C', 'YBR240C', 'YBR297W', 'YCR106W', 'YDL170W', 'YDR034C', 'YDR207C', 'YDR213W', 'YDR303C', 'YDR421W', 'YDR520C', 'YER184C', 'YFL052W', 'YGL013C', 'YGR288W', 'YHR056C', 'YHR178W', 'YIL130W', 'YIR023W', 'YJL089W', 'YJL103C', 'YJL206C', 'YKL015W', 'YKL038W', 'YKL222C', 'YKR064W', 'YLL054C', 'YLR014C', 'YLR098C', 'YLR228C', 'YLR256W', 'YLR266C', 'YLR278C', 'YLR451W', 'YML099C', 'YMR019W', 'YMR168C', 'YMR280C', 'YNR063W', 'YOL089C', 'YOR162C', 'YOR172W', 'YOR337W', 'YOR363C', 'YOR380W', 'YPL248C', 'YPR196W']"
PF00173,6,"['YGL055W', 'YML054C', 'YMR073C', 'YMR272C', 'YNL111C', 'YPL170W']"
PF00175,7,"['YFR030W', 'YHR042W', 'YIL043C', 'YKL150W', 'YML087C', 'YML125C', 'YPR048W']"
PF00176,17,"['YAL019W', 'YBR073W', 'YBR114W', 'YBR245C', 'YDR334W', 'YER164W', 'YFR038W', 'YGL150C', 'YGL163C', 'YIL126W', 'YJR035W', 'YLR032W', 'YLR247C', 'YOR191W', 'YOR290C', 'YOR304W', 'YPL082C']"
PF00177,2,"['YJR113C', 'YJR123W']"
PF00179,14,"['YBR082C', 'YDL064W', 'YDR054C', 'YDR059C', 'YDR092W', 'YDR177W', 'YEL012W', 'YER100W', 'YGL058W', 'YGL087C', 'YGR133W', 'YLR306W', 'YMR022W', 'YOR339C']"
PF00180,7,"['YCL018W', 'YDL066W', 'YIL094C', 'YLR174W', 'YNL009W', 'YNL037C', 'YOR136W']"
PF00181,3,"['YEL050C', 'YFR031C-A', 'YIL018W']"
PF00183,2,"['YMR186W', 'YPL240C']"
PF00185,2,"['YJL088W', 'YJL130C']"
PF00186,1,['YOR236W']
PF00188,3,"['YJL078C', 'YJL079C', 'YKR013W']"
PF00189,1,['YNL178W']
PF00198,2,"['YDR148C', 'YNL071W']"
PF00199,2,"['YDR256C', 'YGR088W']"
PF00201,1,['YLR189C']
PF00202,4,"['YGR019W', 'YLR438W', 'YNR058W', 'YOL140W']"
PF00203,2,"['YNR037C', 'YOL040C']"
PF00204,1,['YNL088W']
PF00205,7,"['YDL080C', 'YDR380W', 'YEL020C', 'YGR087C', 'YLR044C', 'YLR134W', 'YMR108W']"
PF00206,3,"['YHR018C', 'YLR359W', 'YPL262W']"
PF00208,3,"['YAL062W', 'YDL215C', 'YOR375C']"
PF00211,1,['YJL005W']
PF00213,1,['YDR298C']
PF00215,1,['YEL021W']
PF00218,1,['YKL211C']
PF00224,2,"['YAL038W', 'YOR347C']"
PF00225,6,"['YBL063W', 'YEL061C', 'YGL216W', 'YKL079W', 'YPL155C', 'YPR141C']"
PF00226,19,"['YER048C', 'YFL016C', 'YFR041C', 'YGL018C', 'YGL128C', 'YGR285C', 'YIR004W', 'YJL073W', 'YJL162C', 'YJR097W', 'YLR090W', 'YMR161W', 'YMR214W', 'YNL007C', 'YNL064C', 'YNL077W', 'YNL227C', 'YOR254C', 'YPR061C']"
PF00227,14,"['YBL041W', 'YER012W', 'YER094C', 'YFR050C', 'YGL011C', 'YGR135W', 'YGR253C', 'YJL001W', 'YML092C', 'YMR314W', 'YOL038W', 'YOR157C', 'YOR362C', 'YPR103W']"
PF00230,4,"['YFL054C', 'YLL043W', 'YLL053C', 'YPR192W']"
PF00231,1,['YBR039W']
PF00233,1,['YOR360C']
PF00235,1,['YOR122C']
PF00237,3,"['YJL177W', 'YKL180W', 'YNL177C']"
PF00238,3,"['YBL087C', 'YER117W', 'YKL170W']"
PF00240,9,"['YDR139C', 'YEL037C', 'YIL148W', 'YKR094C', 'YLL039C', 'YLR167W', 'YMR276W', 'YNR032C-A', 'YOL111C']"
PF00241,4,"['YCR088W', 'YDR063W', 'YGR080W', 'YLL050C']"
PF00244,2,"['YDR099W', 'YER177W']"
PF00245,1,['YDR481C']
PF00246,1,['YHR132C']
PF00248,13,"['YBR149W', 'YCR107W', 'YDL124W', 'YDL243C', 'YDR368W', 'YHR104W', 'YJR096W', 'YJR155W', 'YMR041C', 'YNL331C', 'YOR120W', 'YPL088W', 'YPR127W']"
PF00249,9,"['YBL054W', 'YCR033W', 'YDR448W', 'YER088C', 'YFR037C', 'YJL176C', 'YKR099W', 'YNL216W', 'YPL128C']"
PF00250,4,"['YCR065W', 'YIL131C', 'YNL068C', 'YPR104C']"
PF00251,1,['YIL162W']
PF00252,2,"['YBL038W', 'YLR075W']"
PF00253,3,"['YDL061C', 'YLR388W', 'YPR166C']"
PF00254,4,"['YDR519W', 'YLR449W', 'YML074C', 'YNL135C']"
PF00255,3,"['YBR244W', 'YIR037W', 'YKL026C']"
PF00258,4,"['YHR042W', 'YJR137C', 'YPL207W', 'YPR048W']"
PF00262,1,['YAL058W']
PF00266,4,"['YCL017C', 'YFL030W', 'YLR231C', 'YOR184W']"
PF00268,2,"['YGR180C', 'YJL026W']"
PF00270,51,"['YBL111C', 'YBR142W', 'YBR237W', 'YDL031W', 'YDL084W', 'YDL160C', 'YDR021W', 'YDR194C', 'YDR243C', 'YDR291W', 'YDR545W', 'YER172C', 'YER190W', 'YFL002C', 'YGL064C', 'YGL078C', 'YGL120C', 'YGL171W', 'YGL251C', 'YGR271W', 'YGR296W', 'YHL050C', 'YHR065C', 'YHR169W', 'YHR218W', 'YJL033W', 'YJL050W', 'YJL138C', 'YKL078W', 'YKR024C', 'YKR059W', 'YKR086W', 'YLL008W', 'YLL066C', 'YLR276C', 'YLR398C', 'YLR419W', 'YLR466W', 'YLR467W', 'YML133C', 'YMR128W', 'YMR190C', 'YMR290C', 'YNL112W', 'YNL339C', 'YNR011C', 'YNR038W', 'YOR204W', 'YOR396W', 'YPL119C', 'YPL283C']"
PF00271,75,"['YAL019W', 'YBL112C', 'YBR073W', 'YBR114W', 'YBR142W', 'YBR237W', 'YBR245C', 'YDL031W', 'YDL084W', 'YDL160C', 'YDR021W', 'YDR194C', 'YDR243C', 'YDR291W', 'YDR332W', 'YDR334W', 'YDR545W', 'YEL077C', 'YER013W', 'YER164W', 'YER172C', 'YER190W', 'YFL002C', 'YFR038W', 'YGL064C', 'YGL078C', 'YGL120C', 'YGL150C', 'YGL163C', 'YGL171W', 'YGL251C', 'YGR271W', 'YGR296W', 'YHR065C', 'YHR169W', 'YHR218W-A', 'YIL126W', 'YIL177C', 'YIR002C', 'YJL033W', 'YJL050W', 'YJL138C', 'YJL225C', 'YJR035W', 'YKL078W', 'YKR024C', 'YKR059W', 'YKR086W', 'YLL008W', 'YLL066C', 'YLL067C', 'YLR032W', 'YLR276C', 'YLR398C', 'YLR419W', 'YLR466W', 'YLR467W', 'YML133C', 'YMR128W', 'YMR190C', 'YMR290C', 'YNL112W', 'YNL339C', 'YNR011C', 'YNR038W', 'YOR191W', 'YOR204W', 'YOR290C', 'YOR304W', 'YOR396W', 'YPL029W', 'YPL082C', 'YPL119C', 'YPL283C', 'YPR204W']"
PF00275,1,['YDR127W']
PF00276,2,"['YDR405W', 'YOL127W']"
PF00278,1,['YKL184W']
PF00281,3,"['YDR237W', 'YGR085C', 'YPR102C']"
PF00282,2,"['YDR294C', 'YMR250W']"
PF00285,3,"['YCR005C', 'YNR001C', 'YPR001W']"
PF00288,6,"['YBR020W', 'YDR009W', 'YHR025W', 'YMR208W', 'YMR220W', 'YNR043W']"
PF00289,5,"['YBR208C', 'YBR218C', 'YGL062W', 'YMR207C', 'YNR016C']"
PF00290,1,['YGL026C']
PF00291,7,"['YCL064C', 'YCR053W', 'YER086W', 'YGL026C', 'YGR012W', 'YGR155W', 'YKL218C']"
PF00293,7,"['YBR111C', 'YGL067W', 'YJR142W', 'YLR151C', 'YNL118C', 'YOR163W', 'YPL117C']"
PF00294,3,"['YCR019W', 'YCR036W', 'YJR105W']"
PF00295,1,['YJR153W']
PF00297,1,['YGR220C']
PF00298,3,"['YDR418W', 'YEL054C', 'YNL185C']"
PF00300,12,"['YDL021W', 'YDR051C', 'YIL107C', 'YJL155C', 'YKL128C', 'YKL152C', 'YKR043C', 'YLR345W', 'YNL108C', 'YOL056W', 'YOR110W', 'YOR283W']"
PF00303,1,['YOR074C']
PF00306,1,['YBL099W']
PF00307,3,"['YDR129C', 'YOR367W', 'YPL242C']"
PF00310,1,['YDL171C']
PF00312,2,"['YDR064W', 'YDR337W']"
PF00316,1,['YLR377C']
PF00317,2,"['YER070W', 'YIL066C']"
PF00318,3,"['YGR214W', 'YHL004W', 'YLR048W']"
PF00319,4,"['YBR182C', 'YMR042W', 'YMR043W', 'YPL089C']"
PF00320,10,"['YCR018C', 'YER040W', 'YFL021W', 'YIR013C', 'YJL110C', 'YKL185W', 'YKR034W', 'YLR013W', 'YMR136W', 'YPL021W']"
PF00324,20,"['YBR068C', 'YBR069C', 'YBR132C', 'YBR235W', 'YCL025C', 'YDR046C', 'YDR160W', 'YDR508C', 'YEL063C', 'YFL055W', 'YGR191W', 'YKL174C', 'YKR039W', 'YLL061W', 'YNL268W', 'YNL270C', 'YOL020W', 'YOR348C', 'YPL265W', 'YPL274W']"
PF00326,2,"['YHR028C', 'YOR219C']"
PF00327,4,"['YGL076C', 'YMR286W', 'YNL002C', 'YPL198W']"
PF00328,6,"['YAR071W', 'YBR092C', 'YBR093C', 'YDL024C', 'YHR215W', 'YLR410W']"
PF00330,4,"['YDR234W', 'YGL009C', 'YJL200C', 'YLR304C']"
PF00332,3,"['YGR279C', 'YGR282C', 'YMR305C']"
PF00333,2,"['YBR251W', 'YGL123W']"
PF00334,1,['YKL067W']
PF00338,2,"['YDR041W', 'YHL015W']"
PF00339,4,"['YBR250W', 'YFR022W', 'YGL045W', 'YJL084C']"
PF00342,1,['YBR196C']
PF00343,1,['YPR160W']
PF00344,2,"['YBR283C', 'YLR378C']"
PF00347,3,"['YGL147C', 'YHR147C', 'YNL067W']"
PF00348,3,"['YBR003W', 'YJL167W', 'YPL069C']"
PF00349,5,"['YCL040W', 'YDR516C', 'YFR053C', 'YGL253W', 'YLR446W']"
PF00350,4,"['YBR179C', 'YKR001C', 'YLL001W', 'YOR211C']"
PF00352,1,['YER148W']
PF00355,1,['YEL024W']
PF00364,8,"['YBR208C', 'YBR218C', 'YDR148C', 'YGL062W', 'YGR193C', 'YMR207C', 'YNL071W', 'YNR016C']"
PF00365,2,"['YGR240C', 'YMR205C']"
PF00366,3,"['YBR048W', 'YDR025W', 'YMR188C']"
PF00368,2,"['YLR450W', 'YML075C']"
PF00370,4,"['YDR109C', 'YGR194C', 'YHL032C', 'YNL249C']"
PF00378,2,"['YLR284C', 'YOR180C']"
PF00380,3,"['YBR146W', 'YDL083C', 'YMR143W']"
PF00382,2,"['YGR246C', 'YPR086W']"
PF00383,5,"['YHR144C', 'YJL035C', 'YLR245C', 'YLR316C', 'YPR062W']"
PF00385,2,"['YER164W', 'YPL226W']"
PF00387,1,['YPL268W']
PF00388,1,['YPL268W']
PF00389,4,"['YER081W', 'YIL074C', 'YNL274C', 'YOR388C']"
PF00390,1,['YKL029C']
PF00393,2,"['YGR256W', 'YHR183W']"
PF00394,3,"['YDR506C', 'YFL041W', 'YMR058W']"
PF00397,5,"['YER125W', 'YFL010C', 'YJR017C', 'YKL012W', 'YPR152C']"
PF00398,2,"['YMR228W', 'YPL266W']"
PF00399,9,"['YER011W', 'YHR126C', 'YJL158C', 'YJL159W', 'YJL160C', 'YKL096W', 'YKL096W-A', 'YKL163W', 'YKL164C']"
PF00400,72,"['YAR003W', 'YBL008W', 'YBR103W', 'YBR175W', 'YBR195C', 'YBR198C', 'YBR234C', 'YBR281C', 'YCL039W', 'YCR057C', 'YCR067C', 'YCR072C', 'YCR084C', 'YDL145C', 'YDL156W', 'YDL195W', 'YDR030C', 'YDR142C', 'YDR267C', 'YDR324C', 'YDR364C', 'YEL056W', 'YER066W', 'YER107C', 'YFL009W', 'YFR021W', 'YGL003C', 'YGL004C', 'YGL100W', 'YGL137W', 'YGL190C', 'YGL213C', 'YGR200C', 'YGR225W', 'YIL046W', 'YJL069C', 'YJL112W', 'YKL018W', 'YKL021C', 'YKL121W', 'YKL213C', 'YKR036C', 'YLL011W', 'YLR129W', 'YLR196W', 'YLR208W', 'YLR222C', 'YLR409C', 'YLR429W', 'YML102W', 'YMR049C', 'YMR092C', 'YMR093W', 'YMR102C', 'YMR116C', 'YMR131C', 'YMR146C', 'YNL006W', 'YNL035C', 'YNL253W', 'YNL317W', 'YOL138C', 'YOR026W', 'YOR212W', 'YOR269W', 'YOR272W', 'YPL126W', 'YPL151C', 'YPL183C', 'YPL247C', 'YPR137W', 'YPR178W']"
PF00403,3,"['YDR270W', 'YMR038C', 'YNL259C']"
PF00406,3,"['YDR226W', 'YER170W', 'YKL024C']"
PF00408,4,"['YEL058W', 'YKL127W', 'YMR105C', 'YMR278W']"
PF00410,3,"['YJL190C', 'YLR367W', 'YMR158W']"
PF00411,2,"['YCR031C', 'YJL191W']"
PF00412,4,"['YDL240W', 'YDR379W', 'YKR090W', 'YOR127W']"
PF00415,3,"['YAL020C', 'YGL097W', 'YLR077W']"
PF00416,3,"['YDR450W', 'YML026C', 'YNL081C']"
PF00425,2,"['YER090W', 'YNR033W']"
PF00428,5,"['YDL081C', 'YDL130W', 'YDR382W', 'YLR340W', 'YOL039W']"
PF00432,3,"['YDL090C', 'YGL155W', 'YPR176C']"
PF00433,7,"['YBL105C', 'YBR028C', 'YGR092W', 'YHR205W', 'YKL126W', 'YMR104C', 'YPR111W']"
PF00436,1,['YCR028C-A']
PF00438,2,"['YDR502C', 'YLR180W']"
PF00439,10,"['YBR081C', 'YDL070W', 'YGR056W', 'YGR252W', 'YIL126W', 'YKR008W', 'YLR033W', 'YLR357W', 'YLR399C', 'YOR290C']"
PF00443,17,"['YBL067C', 'YBR058C', 'YDL122W', 'YDR069C', 'YER098W', 'YER144C', 'YER151C', 'YFR005C', 'YFR010W', 'YIL156W', 'YJL197W', 'YKR098C', 'YMR223W', 'YMR304W', 'YNL186W', 'YOR124C', 'YPL072W']"
PF00444,1,['YPL183W-A']
PF00445,1,['YPL123C']
PF00447,5,"['YGL073W', 'YGR249W', 'YHR206W', 'YJR147W', 'YOR140W']"
PF00448,2,"['YDR292C', 'YPR088C']"
PF00450,3,"['YBR139W', 'YGL203C', 'YMR297W']"
